epoch,loss,dev,test
0,12.858965,0.375527,0.366316
1,1.188798,0.35865,0.412632
2,0.330141,0.371308,0.421053
3,0.132316,0.405063,0.427368
4,0.063788,0.400844,0.442105
5,0.039407,0.405063,0.450526
6,0.055992,0.413502,0.437895
7,0.032217,0.421941,0.446316
8,0.022011,0.434599,0.437895
9,0.024395,0.438819,0.435789
10,0.016133,0.438819,0.444211
11,0.011512,0.443038,0.448421
12,0.008372,0.443038,0.448421
13,0.009195,0.443038,0.448421
14,0.023968,0.451477,0.456842
15,0.006617,0.443038,0.467368
16,0.007017,0.447257,0.467368
17,0.0071,0.455696,0.467368
18,0.006193,0.455696,0.469474
19,0.004986,0.455696,0.471579
20,0.004686,0.455696,0.471579
21,0.00476,0.459916,0.473684
22,0.002922,0.455696,0.469474
23,0.003176,0.451477,0.465263
24,0.002915,0.447257,0.467368
25,0.004198,0.455696,0.467368
26,0.024328,0.413502,0.450526
27,0.003136,0.42616,0.433684
28,0.003626,0.417722,0.44
29,0.003293,0.417722,0.437895
