epoch,loss,dev,test
0,1.649128,0.295455,0.339286
1,1.462054,0.363636,0.375
2,1.143558,0.318182,0.357143
3,0.717486,0.25,0.303571
4,0.325065,0.318182,0.285714
5,0.150312,0.340909,0.25
6,0.10321,0.295455,0.214286
7,0.103942,0.318182,0.267857
8,0.070205,0.272727,0.25
9,0.172422,0.227273,0.267857
10,0.0787,0.204545,0.285714
11,0.220511,0.272727,0.285714
12,0.071571,0.318182,0.25
13,0.063895,0.318182,0.267857
14,0.015996,0.340909,0.25
15,0.020476,0.340909,0.267857
16,0.07069,0.340909,0.267857
17,0.04671,0.386364,0.267857
18,0.018958,0.386364,0.267857
19,0.029539,0.409091,0.285714
20,0.043643,0.409091,0.321429
21,0.02428,0.409091,0.285714
22,0.012649,0.409091,0.285714
23,0.010499,0.409091,0.25
24,0.024073,0.409091,0.25
25,0.013705,0.431818,0.285714
26,0.007839,0.409091,0.267857
27,0.003434,0.409091,0.267857
28,0.01247,0.409091,0.25
29,0.021595,0.386364,0.25
