epoch,loss,dev,test
0,11.88449,0.362869,0.387368
1,3.243378,0.396624,0.408421
2,0.640819,0.417722,0.427368
3,0.440341,0.42616,0.444211
4,0.237646,0.400844,0.448421
5,0.127686,0.396624,0.461053
6,0.037935,0.405063,0.458947
7,0.050258,0.392405,0.454737
8,0.118514,0.375527,0.450526
9,0.022765,0.379747,0.444211
10,0.202797,0.375527,0.442105
11,0.032925,0.409283,0.437895
12,0.033671,0.392405,0.435789
13,0.051705,0.392405,0.442105
14,0.015732,0.409283,0.446316
15,0.032907,0.43038,0.437895
16,0.027301,0.434599,0.450526
17,0.072298,0.417722,0.446316
18,0.128673,0.443038,0.452632
19,0.127444,0.421941,0.446316
20,0.179011,0.421941,0.442105
21,0.435402,0.405063,0.465263
22,0.425413,0.438819,0.444211
23,0.293734,0.434599,0.446316
24,0.420396,0.396624,0.44
25,0.20565,0.409283,0.433684
26,0.506751,0.43038,0.412632
27,0.32817,0.434599,0.461053
28,0.413229,0.42616,0.486316
29,0.631691,0.468354,0.452632
