epoch,loss,dev,test
0,10.987246,0.438819,0.425263
1,10.863661,0.371308,0.353684
2,9.452831,0.468354,0.435789
3,7.773995,0.42616,0.473684
4,6.673079,0.468354,0.450526
5,5.850052,0.455696,0.458947
6,5.59227,0.434599,0.458947
7,4.988164,0.443038,0.444211
8,4.182705,0.447257,0.429474
9,4.367267,0.459916,0.473684
10,3.741641,0.438819,0.423158
11,3.399823,0.42616,0.423158
12,3.799845,0.451477,0.44
13,3.924301,0.434599,0.435789
14,3.466358,0.443038,0.429474
15,3.430363,0.409283,0.393684
16,3.205354,0.43038,0.416842
17,3.256103,0.472574,0.425263
18,3.282799,0.443038,0.423158
19,2.911555,0.472574,0.431579
20,2.568609,0.489451,0.427368
21,2.849077,0.443038,0.393684
22,2.265552,0.443038,0.412632
23,2.740476,0.468354,0.44
24,2.488922,0.43038,0.374737
25,2.978948,0.459916,0.427368
26,2.705445,0.455696,0.421053
27,2.42424,0.443038,0.385263
28,2.458576,0.405063,0.393684
29,2.075763,0.468354,0.418947
,,,
max,10.987246,0.489451,0.473684
