epoch,loss,dev,test
0,2.197118,0.2,0.416667
1,2.176816,0.1,0.527778
2,2.090666,0,0.527778
3,1.821348,0,0.472222
4,1.265914,0,0.416667
5,0.802623,0,0.527778
6,0.710069,0,0.5
7,0.231496,0,0.416667
8,0.732448,0.1,0.416667
9,0.885,0.1,0.416667
10,0.182562,0.1,0.444444
11,0.411835,0.1,0.444444
12,0.523297,0.1,0.444444
13,0.265984,0.1,0.416667
14,0.296481,0.1,0.416667
15,0.278935,0.1,0.416667
16,0.270822,0.1,0.416667
17,0.376061,0.1,0.444444
18,0.236825,0.1,0.416667
19,0.196286,0.1,0.388889
20,0.272757,0.1,0.388889
21,0.17094,0.1,0.388889
22,0.222396,0.1,0.388889
23,0.233178,0.2,0.416667
24,0.204066,0.2,0.416667
25,0.149648,0.2,0.416667
26,0.278839,0.2,0.416667
27,0.202422,0.2,0.416667
28,0.101828,0.2,0.416667
29,0.111177,0.2,0.416667
,,,
max,2.197118,0.2,0.527778
