epoch,loss,dev,test
0,10.789227,0.459916,0.429474
1,9.844383,0.493671,0.423158
2,8.462115,0.481013,0.465263
3,7.159953,0.459916,0.477895
4,6.590745,0.481013,0.471579
5,6.509562,0.514768,0.467368
6,6.19371,0.489451,0.435789
7,6.54128,0.49789,0.465263
8,5.784205,0.485232,0.490526
9,5.618249,0.481013,0.471579
10,5.166197,0.472574,0.509474
11,5.390812,0.489451,0.463158
12,4.629424,0.506329,0.467368
13,4.180871,0.518987,0.494737
14,4.209493,0.49789,0.490526
15,4.281667,0.527426,0.492632
16,4.143499,0.540084,0.488421
17,3.839934,0.49789,0.471579
18,3.644846,0.49789,0.469474
19,3.871198,0.50211,0.471579
20,3.63048,0.493671,0.463158
21,3.677734,0.535865,0.454737
22,4.556273,0.556962,0.484211
23,3.747248,0.523207,0.492632
24,3.421623,0.523207,0.471579
25,3.420827,0.510549,0.471579
26,3.497294,0.510549,0.48
27,2.854667,0.518987,0.467368
28,3.199881,0.510549,0.488421
29,3.208613,0.523207,0.475789
,,,
max,10.789227,0.556962,0.509474
