epoch,loss,dev,test
0,2.197425,0.1,0.5
1,2.140494,0.1,0.555556
2,1.972478,0,0.555556
3,1.612815,0,0.583333
4,1.316732,0,0.611111
5,0.743767,0,0.555556
6,0.609938,0,0.527778
7,0.482997,0.1,0.5
8,0.346638,0.1,0.416667
9,0.425082,0.1,0.388889
10,0.401381,0.1,0.416667
11,0.48887,0.1,0.416667
12,0.140142,0.1,0.388889
13,0.48545,0.1,0.388889
14,0.509022,0.1,0.361111
15,0.522277,0.1,0.361111
16,1.079891,0.1,0.388889
17,0.301915,0.1,0.361111
18,0.48279,0.1,0.361111
19,0.751172,0.1,0.388889
20,0.419123,0.2,0.388889
21,0.182314,0.2,0.388889
22,0.276264,0.2,0.388889
23,0.305461,0.2,0.361111
24,0.426868,0.2,0.361111
25,0.260914,0.3,0.361111
26,0.165651,0.3,0.361111
27,0.499472,0.3,0.333333
28,0.140967,0.3,0.333333
29,0.320369,0.3,0.333333
,,,
max,2.197425,0.3,0.611111
