epoch,loss,dev,test
0,10.986429,0.459916,0.450526
1,10.952078,0.451477,0.444211
2,10.015431,0.455696,0.452632
3,8.520564,0.451477,0.456842
4,8.097087,0.438819,0.461053
5,6.931373,0.468354,0.450526
6,6.042551,0.417722,0.414737
7,5.190127,0.367089,0.355789
8,4.419391,0.464135,0.4
9,4.020599,0.42616,0.355789
10,3.696226,0.396624,0.36
11,3.59268,0.481013,0.362105
12,3.435843,0.396624,0.395789
13,2.824728,0.434599,0.351579
14,2.416093,0.388186,0.351579
15,2.256326,0.405063,0.366316
16,2.148621,0.375527,0.353684
17,2.106588,0.383966,0.332632
18,1.79619,0.396624,0.374737
19,1.986161,0.400844,0.36
20,1.807942,0.375527,0.343158
21,2.103809,0.379747,0.330526
22,2.275953,0.43038,0.347368
23,1.758693,0.400844,0.326316
24,2.105513,0.35443,0.357895
25,1.735161,0.396624,0.364211
26,1.342276,0.362869,0.334737
27,1.45716,0.375527,0.353684
28,1.373034,0.35443,0.341053
29,1.476268,0.379747,0.351579
