epoch,loss,dev,test
0,2.197526,0.1,0.333333
1,2.172841,0.1,0.361111
2,2.140099,0,0.388889
3,2.086946,0,0.416667
4,2.003198,0,0.416667
5,1.873145,0,0.416667
6,1.718723,0,0.444444
7,1.461816,0.1,0.472222
8,1.228827,0.1,0.5
9,0.894167,0.1,0.472222
10,0.59519,0.1,0.472222
11,0.4295,0.1,0.444444
12,0.35845,0.1,0.388889
13,0.25198,0.1,0.388889
14,0.229771,0.1,0.388889
15,0.210357,0.2,0.444444
16,0.214448,0.2,0.361111
17,0.174967,0.2,0.333333
18,0.073268,0.2,0.333333
19,0.291218,0.2,0.333333
20,0.350725,0.2,0.333333
21,0.138197,0.2,0.305556
22,0.220328,0.2,0.333333
23,0.128079,0.2,0.277778
24,0.090489,0.2,0.333333
25,0.099855,0.1,0.333333
26,0.079804,0.1,0.333333
27,0.113822,0.1,0.305556
28,0.096333,0.1,0.305556
29,0.090742,0.1,0.361111
,,,
max,2.197526,0.2,0.5
