epoch,loss,dev,test
0,2.196383,0.304348,0.424242
1,2.078718,0.217391,0.333333
2,1.65688,0.173913,0.30303
3,0.991225,0.173913,0.242424
4,0.503688,0.173913,0.272727
5,0.370308,0.217391,0.30303
6,0.817414,0.217391,0.272727
7,0.505482,0.217391,0.272727
8,0.453942,0.217391,0.272727
9,0.341534,0.26087,0.242424
10,0.422817,0.26087,0.212121
11,0.241824,0.26087,0.272727
12,0.326116,0.217391,0.272727
13,0.319704,0.217391,0.30303
14,0.391705,0.130435,0.30303
15,0.212252,0.130435,0.30303
16,0.144788,0.130435,0.30303
17,0.258174,0.130435,0.30303
18,0.12916,0.130435,0.30303
19,0.29917,0.173913,0.272727
20,0.323278,0.173913,0.242424
21,0.17597,0.217391,0.242424
22,0.299605,0.217391,0.272727
23,0.267033,0.217391,0.272727
24,0.185634,0.217391,0.272727
25,0.160813,0.173913,0.272727
26,0.196597,0.173913,0.272727
27,0.284921,0.217391,0.272727
28,0.554436,0.217391,0.272727
29,0.139742,0.217391,0.242424
30,0.385328,0.217391,0.242424
31,0.318559,0.26087,0.242424
32,0.155898,0.217391,0.242424
33,0.135325,0.217391,0.272727
34,0.359026,0.217391,0.30303
35,0.265396,0.26087,0.272727
36,0.264685,0.26087,0.272727
37,0.148422,0.217391,0.30303
38,0.262492,0.217391,0.333333
39,0.114738,0.173913,0.30303
40,0.261259,0.173913,0.30303
41,0.201033,0.173913,0.30303
42,0.182089,0.173913,0.30303
43,0.197806,0.173913,0.30303
44,0.072624,0.173913,0.30303
45,0.051805,0.173913,0.30303
46,0.159673,0.173913,0.30303
47,0.109102,0.173913,0.242424
48,0.183211,0.173913,0.272727
49,0.243295,0.130435,0.30303
,,,
max,2.196383,0.304348,0.424242
min,0.051805,0.130435,0.212121
mean,0.38642158,0.19913038,0.28303002
