epoch,loss,dev,test
0,2.194361,0.565217,0.393939
1,2.065731,0.434783,0.454545
2,1.599635,0.347826,0.454545
3,0.938854,0.304348,0.454545
4,0.478103,0.26087,0.424242
5,0.40355,0.217391,0.333333
6,0.471422,0.217391,0.272727
7,0.353769,0.217391,0.272727
8,0.410921,0.26087,0.272727
9,0.222221,0.217391,0.333333
10,0.401178,0.304348,0.333333
11,0.404883,0.347826,0.30303
12,0.429435,0.391304,0.333333
13,0.329198,0.347826,0.393939
14,0.312135,0.347826,0.393939
15,0.239668,0.347826,0.333333
16,0.527228,0.304348,0.363636
17,0.362029,0.347826,0.30303
18,0.248705,0.304348,0.333333
19,0.437794,0.347826,0.333333
20,0.317609,0.347826,0.333333
21,0.166744,0.304348,0.333333
22,0.213517,0.26087,0.333333
23,0.286061,0.26087,0.333333
24,0.354508,0.304348,0.333333
25,0.174068,0.304348,0.363636
26,0.275484,0.304348,0.333333
27,0.26403,0.217391,0.333333
28,0.150762,0.173913,0.333333
29,0.113708,0.173913,0.333333
30,0.105409,0.130435,0.333333
31,0.201291,0.130435,0.30303
32,0.316278,0.130435,0.30303
33,0.187416,0.130435,0.30303
34,0.189252,0.130435,0.333333
35,0.123994,0.130435,0.363636
36,0.136974,0.173913,0.30303
37,0.149562,0.173913,0.30303
38,0.220162,0.173913,0.333333
39,0.138451,0.173913,0.333333
40,0.132211,0.173913,0.333333
41,0.097947,0.130435,0.363636
42,0.138596,0.130435,0.333333
43,0.127348,0.130435,0.333333
44,0.137061,0.130435,0.333333
45,0.314997,0.217391,0.333333
46,0.282496,0.217391,0.333333
47,0.167407,0.217391,0.333333
48,0.160544,0.173913,0.30303
49,0.102671,0.130435,0.30303
,,,
max,2.194361,0.565217,0.454545
min,0.097947,0.130435,0.272727
mean,0.37154756,0.24434786,0.3393936
