epoch,loss,dev,test
0,2.197055,0.347826,0.424242
1,2.160255,0.347826,0.272727
2,1.857704,0.391304,0.333333
3,1.009265,0.304348,0.333333
4,0.820081,0.347826,0.242424
5,0.452126,0.304348,0.333333
6,0.59479,0.304348,0.363636
7,0.535927,0.26087,0.333333
8,0.294539,0.26087,0.363636
9,0.538359,0.217391,0.333333
10,0.291988,0.26087,0.333333
11,0.379904,0.26087,0.333333
12,0.183162,0.217391,0.30303
13,0.243084,0.217391,0.272727
14,0.247581,0.173913,0.242424
15,0.205584,0.173913,0.272727
16,0.227032,0.130435,0.272727
17,0.148913,0.130435,0.30303
18,0.136691,0.130435,0.272727
19,0.178528,0.130435,0.242424
20,0.234378,0.130435,0.242424
21,0.148399,0.130435,0.181818
22,0.340935,0.130435,0.181818
23,0.155156,0.130435,0.212121
24,0.068808,0.173913,0.181818
25,0.140294,0.173913,0.181818
26,0.073894,0.173913,0.181818
27,0.053497,0.173913,0.181818
28,0.272688,0.173913,0.151515
29,0.101694,0.173913,0.151515
30,0.083014,0.173913,0.151515
31,0.086117,0.173913,0.181818
32,0.175057,0.173913,0.181818
33,0.161611,0.173913,0.181818
34,0.093106,0.173913,0.181818
35,0.45093,0.173913,0.242424
36,0.147965,0.173913,0.242424
37,0.109437,0.173913,0.212121
38,0.190493,0.173913,0.272727
39,0.103602,0.173913,0.272727
40,0.220757,0.173913,0.272727
41,0.090924,0.173913,0.272727
42,0.13073,0.173913,0.272727
43,0.105521,0.217391,0.30303
44,0.139571,0.217391,0.30303
45,0.19254,0.217391,0.30303
46,0.147641,0.217391,0.30303
47,0.086376,0.217391,0.30303
48,0.075947,0.217391,0.272727
49,0.138927,0.217391,0.272727
,,,
max,2.197055,0.391304,0.424242
min,0.053497,0.130435,0.151515
mean,0.34445154,0.20521738,0.2606058
