epoch,loss,dev,test
0,2.196811,0.304348,0.424242
1,2.141012,0.304348,0.454545
2,1.731419,0.347826,0.363636
3,0.962628,0.347826,0.363636
4,0.79616,0.26087,0.363636
5,0.444355,0.26087,0.333333
6,0.4624,0.217391,0.333333
7,0.53416,0.217391,0.333333
8,0.257627,0.26087,0.363636
9,0.330277,0.26087,0.393939
10,0.288277,0.26087,0.393939
11,0.282412,0.217391,0.363636
12,0.39845,0.217391,0.363636
13,0.301019,0.217391,0.363636
14,0.222921,0.217391,0.363636
15,0.43303,0.173913,0.363636
16,0.174933,0.173913,0.363636
17,0.118162,0.173913,0.363636
18,0.115942,0.173913,0.393939
19,0.090925,0.173913,0.393939
20,0.121257,0.173913,0.424242
21,0.122043,0.173913,0.424242
22,0.074143,0.173913,0.454545
23,0.200092,0.173913,0.424242
24,0.162279,0.173913,0.424242
25,0.139192,0.173913,0.424242
26,0.119246,0.173913,0.424242
27,0.150223,0.173913,0.454545
28,0.110364,0.173913,0.454545
29,0.084898,0.173913,0.454545
30,0.149848,0.173913,0.454545
31,0.094671,0.173913,0.424242
32,0.220021,0.173913,0.424242
33,0.185655,0.173913,0.424242
34,0.106801,0.173913,0.424242
35,0.087778,0.173913,0.424242
36,0.123165,0.173913,0.393939
37,0.130188,0.173913,0.393939
38,0.101228,0.173913,0.393939
39,0.081704,0.173913,0.393939
40,0.039266,0.173913,0.393939
41,0.110743,0.173913,0.393939
42,0.072385,0.173913,0.393939
43,0.063061,0.173913,0.393939
44,0.035907,0.173913,0.393939
45,0.067893,0.173913,0.393939
46,0.1438,0.173913,0.393939
47,0.074195,0.173913,0.393939
48,0.029509,0.173913,0.393939
49,0.040889,0.173913,0.393939
,,,
max,2.196811,0.347826,0.454545
min,0.029509,0.173913,0.333333
mean,0.31050728,0.19999998,0.39818142
