epoch,loss,dev,test
0,2.196332,0.26087,0.393939
1,2.16738,0.26087,0.30303
2,2.112084,0.26087,0.393939
3,1.98419,0.347826,0.333333
4,1.631975,0.347826,0.333333
5,1.065813,0.304348,0.333333
6,0.612151,0.26087,0.333333
7,0.600869,0.173913,0.333333
8,0.294592,0.26087,0.242424
9,0.242689,0.130435,0.212121
10,0.265521,0.130435,0.212121
11,0.579357,0.173913,0.212121
12,0.676642,0.217391,0.272727
13,0.470917,0.304348,0.272727
14,0.379073,0.173913,0.242424
15,0.270308,0.173913,0.242424
16,0.438088,0.217391,0.242424
17,0.211893,0.304348,0.242424
18,0.333326,0.347826,0.242424
19,0.141973,0.26087,0.272727
20,0.496178,0.26087,0.30303
21,0.113089,0.217391,0.333333
22,0.309684,0.26087,0.333333
23,0.723132,0.26087,0.272727
24,0.126916,0.26087,0.242424
25,0.091269,0.173913,0.272727
26,0.213474,0.173913,0.272727
27,0.154051,0.173913,0.272727
28,0.148053,0.130435,0.272727
29,0.103395,0.173913,0.30303
30,0.172522,0.173913,0.30303
31,0.060626,0.173913,0.30303
32,0.083132,0.173913,0.30303
33,0.268096,0.173913,0.363636
34,0.072523,0.130435,0.363636
35,0.131006,0.130435,0.363636
36,0.067239,0.130435,0.363636
37,0.049554,0.130435,0.363636
38,0.114291,0.130435,0.363636
39,0.061476,0.130435,0.363636
40,0.041063,0.130435,0.363636
41,0.13548,0.173913,0.363636
42,0.143634,0.130435,0.363636
43,0.104923,0.130435,0.363636
44,0.226803,0.086957,0.393939
45,0.063808,0.086957,0.393939
46,0.055941,0.130435,0.424242
47,0.084157,0.130435,0.424242
48,0.08999,0.130435,0.424242
49,0.099366,0.130435,0.393939
,,,
max,2.196332,0.347826,0.424242
min,0.041063,0.086957,0.212121
mean,0.42560088,0.19478276,0.3181815
