epoch,loss,dev,test
0,2.197965,0.434783,0.454545
1,2.16791,0.26087,0.515152
2,2.120052,0.26087,0.454545
3,2.019963,0.26087,0.424242
4,1.780311,0.26087,0.484848
5,1.293804,0.26087,0.424242
6,0.768613,0.217391,0.454545
7,0.553496,0.217391,0.363636
8,0.436829,0.26087,0.30303
9,0.25183,0.217391,0.30303
10,0.310828,0.26087,0.30303
11,0.269305,0.26087,0.333333
12,0.452468,0.26087,0.363636
13,0.146751,0.26087,0.333333
14,0.111047,0.26087,0.333333
15,0.323327,0.173913,0.363636
16,0.110483,0.173913,0.272727
17,0.116241,0.217391,0.30303
18,0.106794,0.217391,0.30303
19,0.121567,0.173913,0.333333
20,0.081839,0.173913,0.30303
21,0.065805,0.173913,0.30303
22,0.073411,0.173913,0.272727
23,0.167644,0.173913,0.272727
24,0.028223,0.173913,0.272727
25,0.039102,0.173913,0.242424
26,0.16877,0.173913,0.242424
27,0.023031,0.173913,0.242424
28,0.0203,0.173913,0.242424
29,0.018955,0.173913,0.242424
30,0.030168,0.130435,0.242424
31,0.022953,0.130435,0.242424
32,0.010455,0.173913,0.242424
33,0.028176,0.26087,0.30303
34,0.035104,0.26087,0.333333
35,0.014891,0.26087,0.30303
36,0.017024,0.26087,0.30303
37,0.031798,0.217391,0.30303
38,0.051034,0.217391,0.333333
39,0.006712,0.26087,0.30303
40,0.013074,0.217391,0.30303
41,0.021187,0.217391,0.30303
42,0.01471,0.217391,0.30303
43,0.017722,0.217391,0.30303
44,0.032419,0.217391,0.272727
45,0.002599,0.217391,0.272727
46,0.019856,0.217391,0.272727
47,0.013697,0.217391,0.272727
48,0.00705,0.217391,0.272727
49,0.011958,0.217391,0.272727
,,,
max,2.197965,0.434783,0.515152
min,0.002599,0.130435,0.242424
mean,0.33498502,0.22000004,0.31636334
