epoch,loss,dev,test
0,8.665364,0.472527,0.4
1,7.629993,0.489011,0.447619
2,6.50348,0.467033,0.434921
3,6.05056,0.456044,0.47619
4,5.616864,0.461538,0.457143
5,5.144098,0.494505,0.444444
6,4.911615,0.467033,0.444444
7,4.673645,0.516484,0.450794
8,4.436686,0.510989,0.460317
9,3.969107,0.538462,0.457143
10,3.837962,0.494505,0.495238
11,4.32293,0.532967,0.473016
12,4.241338,0.538462,0.453968
13,4.808375,0.56044,0.492063
14,3.820793,0.554945,0.511111
15,3.582258,0.543956,0.473016
16,3.225282,0.565934,0.450794
17,3.140956,0.582418,0.495238
18,2.64971,0.582418,0.469841
19,2.481154,0.538462,0.438095
20,2.273412,0.554945,0.434921
21,2.136794,0.626374,0.488889
22,1.960532,0.593407,0.492063
23,1.732364,0.598901,0.47619
24,1.883101,0.637363,0.473016
25,1.710711,0.593407,0.444444
26,1.765866,0.626374,0.479365
27,1.584459,0.593407,0.450794
28,1.800118,0.587912,0.425397
29,1.514874,0.604396,0.488889
30,1.364278,0.620879,0.488889
31,1.342791,0.615385,0.466667
32,1.40257,0.604396,0.473016
33,1.336502,0.604396,0.488889
34,1.362827,0.642857,0.514286
35,1.371072,0.626374,0.469841
36,1.167523,0.642857,0.48254
37,1.157679,0.626374,0.488889
38,1.146008,0.60989,0.47619
39,1.101912,0.60989,0.47619
40,1.031,0.642857,0.469841
41,0.950482,0.60989,0.463492
42,0.907484,0.615385,0.463492
43,0.956801,0.631868,0.479365
44,1.055694,0.604396,0.457143
45,0.912552,0.631868,0.48254
46,0.910881,0.60989,0.469841
47,0.860507,0.642857,0.492063
48,0.849711,0.598901,0.434921
49,1.021324,0.598901,0.488889
,,,
max,8.665364,0.642857,0.514286
min,0.849711,0.456044,0.4
mean,2.68567998,0.5754946,0.46812694
