epoch,loss,dev,test
0,8.52659,0.445055,0.44127
1,7.408973,0.43956,0.431746
2,6.449102,0.478022,0.479365
3,5.662024,0.483516,0.453968
4,5.279642,0.456044,0.434921
5,4.922206,0.467033,0.438095
6,4.531632,0.5,0.434921
7,5.212798,0.489011,0.415873
8,4.35424,0.478022,0.409524
9,3.694361,0.516484,0.393651
10,3.794186,0.494505,0.403175
11,3.717724,0.489011,0.412698
12,3.605251,0.532967,0.403175
13,3.276686,0.516484,0.434921
14,3.046135,0.494505,0.428571
15,2.965886,0.5,0.403175
16,2.930025,0.472527,0.412698
17,3.064155,0.494505,0.434921
18,2.992251,0.467033,0.431746
19,2.689226,0.521978,0.412698
20,2.848716,0.521978,0.422222
21,3.402899,0.472527,0.390476
22,2.852508,0.5,0.419048
23,3.382802,0.478022,0.384127
24,3.515223,0.538462,0.419048
25,3.640849,0.5,0.412698
26,3.759858,0.423077,0.412698
27,3.464989,0.483516,0.419048
28,2.673251,0.489011,0.415873
29,2.374306,0.489011,0.412698
30,2.241079,0.467033,0.422222
31,2.102558,0.494505,0.434921
32,2.102042,0.483516,0.415873
33,2.189438,0.505495,0.396825
34,1.881078,0.5,0.412698
35,2.074216,0.489011,0.415873
36,1.963783,0.478022,0.422222
37,1.793386,0.467033,0.409524
38,1.738768,0.456044,0.412698
39,1.695223,0.478022,0.396825
40,1.691736,0.5,0.406349
41,1.425507,0.467033,0.390476
42,1.500781,0.461538,0.403175
43,1.409338,0.472527,0.403175
44,1.464736,0.472527,0.393651
45,1.508414,0.478022,0.406349
46,1.303475,0.472527,0.403175
47,1.361355,0.472527,0.425397
48,1.32933,0.461538,0.415873
49,1.191694,0.467033,0.4
,,,
max,8.52659,0.538462,0.479365
min,1.191694,0.423077,0.384127
mean,3.08012862,0.48351638,0.41612698
