epoch,loss,dev,test
0,8.789964,0.461538,0.425397
1,8.424179,0.43956,0.47619
2,7.274359,0.461538,0.447619
3,6.183198,0.412088,0.460317
4,5.28137,0.417582,0.453968
5,4.766064,0.351648,0.380952
6,4.674797,0.401099,0.361905
7,4.286499,0.434066,0.422222
8,4.161052,0.434066,0.453968
9,3.848701,0.494505,0.428571
10,3.110478,0.461538,0.409524
11,3.103461,0.461538,0.434921
12,2.659292,0.472527,0.428571
13,2.604046,0.483516,0.422222
14,2.184599,0.450549,0.412698
15,2.2828,0.472527,0.393651
16,2.231375,0.43956,0.374603
17,2.062923,0.445055,0.396825
18,2.008894,0.489011,0.419048
19,1.893128,0.450549,0.4
20,1.688148,0.478022,0.415873
21,1.94463,0.489011,0.374603
22,1.754034,0.483516,0.393651
23,1.816032,0.450549,0.403175
24,1.707714,0.461538,0.412698
25,1.646394,0.456044,0.384127
26,1.853088,0.478022,0.396825
27,1.758944,0.456044,0.349206
28,1.667659,0.43956,0.342857
29,1.472926,0.467033,0.377778
30,1.587445,0.456044,0.371429
31,1.45209,0.434066,0.380952
32,1.735348,0.478022,0.396825
33,1.475941,0.450549,0.368254
34,1.420709,0.434066,0.346032
35,1.452257,0.43956,0.387302
36,1.318087,0.434066,0.330159
37,1.390581,0.395604,0.390476
38,1.480268,0.379121,0.390476
39,1.494335,0.384615,0.384127
40,1.338634,0.423077,0.377778
41,1.460542,0.39011,0.390476
42,1.097264,0.423077,0.377778
43,1.292969,0.423077,0.387302
44,0.993675,0.401099,0.377778
45,1.097597,0.445055,0.384127
46,1.206596,0.417582,0.374603
47,1.334005,0.401099,0.384127
48,1.228166,0.428571,0.368254
49,1.206135,0.401099,0.374603
,,,
max,8.789964,0.494505,0.47619
min,0.993675,0.351648,0.330159
mean,2.52406784,0.44065916,0.39593646
