epoch,loss,dev,test
0,8.781835,0.423077,0.387302
1,8.112864,0.406593,0.431746
2,6.426315,0.428571,0.447619
3,5.297418,0.450549,0.438095
4,4.691188,0.450549,0.4
5,4.29118,0.412088,0.355556
6,4.15101,0.379121,0.349206
7,4.148044,0.456044,0.415873
8,3.894092,0.445055,0.384127
9,4.31673,0.412088,0.339683
10,2.95763,0.395604,0.393651
11,2.726849,0.39011,0.374603
12,2.657729,0.43956,0.4
13,2.657272,0.406593,0.361905
14,2.42555,0.428571,0.371429
15,2.079601,0.423077,0.326984
16,2.11234,0.39011,0.330159
17,2.134405,0.423077,0.342857
18,1.899584,0.412088,0.320635
19,1.94426,0.412088,0.352381
20,1.776298,0.412088,0.330159
21,1.65612,0.423077,0.349206
22,1.455434,0.434066,0.330159
23,1.569969,0.434066,0.346032
24,1.409874,0.406593,0.314286
25,1.55963,0.379121,0.352381
26,1.409699,0.379121,0.330159
27,1.615924,0.401099,0.304762
28,1.441909,0.406593,0.349206
29,1.340556,0.379121,0.352381
30,1.313173,0.384615,0.339683
31,1.00574,0.379121,0.342857
32,1.273974,0.384615,0.31746
33,1.179014,0.423077,0.330159
34,1.263041,0.417582,0.342857
35,1.133825,0.417582,0.336508
36,1.019727,0.412088,0.326984
37,1.206035,0.417582,0.326984
38,1.169769,0.351648,0.339683
39,1.160125,0.384615,0.333333
40,0.977945,0.401099,0.371429
41,0.887651,0.379121,0.35873
42,0.981951,0.362637,0.336508
43,0.82144,0.379121,0.339683
44,0.930001,0.406593,0.346032
45,1.017402,0.384615,0.346032
46,0.922602,0.39011,0.349206
47,0.975831,0.406593,0.342857
48,1.015215,0.417582,0.333333
49,1.079293,0.428571,0.35873
,,,
max,8.781835,0.456044,0.447619
min,0.82144,0.351648,0.304762
mean,2.28550126,0.4073625,0.3540318
