epoch,loss,dev,test
0,8.787346,0.412088,0.415873
1,8.436736,0.412088,0.444444
2,7.798818,0.417582,0.428571
3,7.127465,0.373626,0.371429
4,6.615097,0.351648,0.352381
5,6.070822,0.307692,0.352381
6,5.061559,0.362637,0.349206
7,4.515187,0.32967,0.35873
8,4.002956,0.373626,0.349206
9,3.200887,0.373626,0.339683
10,3.013846,0.357143,0.330159
11,2.766732,0.324176,0.32381
12,2.754788,0.412088,0.352381
13,2.42901,0.357143,0.336508
14,2.255235,0.395604,0.326984
15,2.116949,0.423077,0.320635
16,2.021469,0.401099,0.336508
17,2.163474,0.417582,0.355556
18,2.005423,0.423077,0.330159
19,1.858072,0.428571,0.349206
20,1.568081,0.39011,0.339683
21,1.889001,0.395604,0.307937
22,1.711942,0.412088,0.307937
23,1.657949,0.406593,0.336508
24,1.62238,0.423077,0.32381
25,1.471778,0.428571,0.333333
26,1.345919,0.379121,0.326984
27,1.556494,0.39011,0.333333
28,1.637373,0.395604,0.301587
29,1.387779,0.362637,0.301587
30,1.925536,0.395604,0.295238
31,1.640277,0.395604,0.314286
32,1.547091,0.401099,0.330159
33,1.363404,0.401099,0.320635
34,1.365555,0.43956,0.32381
35,1.228473,0.417582,0.342857
36,1.154212,0.423077,0.31746
37,1.329345,0.423077,0.301587
38,1.014932,0.395604,0.314286
39,1.263325,0.373626,0.339683
40,1.319556,0.401099,0.307937
41,1.165425,0.346154,0.32381
42,1.113091,0.351648,0.333333
43,1.073825,0.368132,0.307937
44,1.287868,0.373626,0.31746
45,1.21545,0.368132,0.298413
46,1.234831,0.351648,0.292063
47,0.998205,0.346154,0.320635
48,0.985448,0.373626,0.301587
49,0.984472,0.357143,0.32381
,,,
max,8.787346,0.43956,0.444444
min,0.984472,0.307692,0.292063
mean,2.52121776,0.38681304,0.3332699
