epoch,loss,dev,test
0,8.778894,0.423077,0.415873
1,8.28139,0.43956,0.463492
2,7.291358,0.406593,0.412698
3,6.505038,0.445055,0.409524
4,6.09357,0.362637,0.346032
5,5.424976,0.417582,0.415873
6,4.706649,0.384615,0.371429
7,4.643009,0.346154,0.342857
8,4.148615,0.401099,0.403175
9,4.084112,0.379121,0.403175
10,3.704196,0.384615,0.390476
11,3.223291,0.434066,0.330159
12,2.73965,0.395604,0.365079
13,2.739497,0.340659,0.368254
14,2.785004,0.39011,0.412698
15,2.19784,0.39011,0.35873
16,2.181793,0.412088,0.415873
17,2.480959,0.412088,0.35873
18,2.106071,0.406593,0.374603
19,2.020965,0.379121,0.365079
20,1.816529,0.379121,0.361905
21,1.784335,0.346154,0.346032
22,1.954442,0.384615,0.35873
23,1.858411,0.373626,0.349206
24,1.888973,0.417582,0.355556
25,1.782236,0.401099,0.371429
26,1.604773,0.417582,0.365079
27,1.621706,0.401099,0.384127
28,1.495828,0.39011,0.380952
29,1.536963,0.412088,0.396825
30,1.609751,0.395604,0.368254
31,1.503144,0.406593,0.349206
32,1.568357,0.406593,0.371429
33,1.39139,0.39011,0.361905
34,1.390302,0.373626,0.374603
35,1.399475,0.368132,0.355556
36,1.26896,0.368132,0.365079
37,1.293546,0.32967,0.361905
38,1.219323,0.368132,0.365079
39,1.223447,0.373626,0.35873
40,1.306412,0.346154,0.361905
41,1.053725,0.379121,0.384127
42,1.229305,0.373626,0.365079
43,1.277352,0.340659,0.339683
44,1.148378,0.373626,0.342857
45,1.198108,0.340659,0.365079
46,1.118589,0.340659,0.346032
47,0.952535,0.340659,0.336508
48,1.081709,0.357143,0.342857
49,1.168972,0.346154,0.361905
,,,
max,8.778894,0.445055,0.463492
min,0.952535,0.32967,0.330159
mean,2.57767706,0.38384602,0.37142856
