epoch,loss,dev,test
0,2.322146,0.411131,0.325942
1,2.080824,0.463196,0.348115
2,1.588293,0.454219,0.317073
3,1.473324,0.441652,0.321508
4,1.468471,0.443447,0.334812
5,1.132146,0.459605,0.325942
6,1.094379,0.470377,0.334812
7,0.979327,0.464991,0.321508
8,0.905154,0.482944,0.354767
9,0.908105,0.473968,0.341463
10,0.900578,0.464991,0.323725
11,0.848123,0.482944,0.317073
12,0.80626,0.470377,0.321508
13,0.75682,0.470377,0.341463
14,0.759309,0.473968,0.317073
15,0.732361,0.464991,0.317073
16,0.736435,0.48833,0.314856
17,0.72472,0.459605,0.343681
18,0.701454,0.477558,0.343681
19,0.698767,0.477558,0.325942
20,0.63479,0.473968,0.330377
21,0.644376,0.466786,0.339246
22,0.634588,0.475763,0.348115
23,0.543163,0.482944,0.345898
24,0.50303,0.490126,0.343681
25,0.483329,0.466786,0.348115
26,0.492217,0.477558,0.343681
27,0.498299,0.477558,0.348115
28,0.495762,0.495512,0.361419
29,0.459055,0.481149,0.368071
30,0.44537,0.464991,0.334812
31,0.399031,0.459605,0.361419
32,0.381864,0.477558,0.337029
33,0.32737,0.463196,0.343681
34,0.324214,0.472172,0.32816
35,0.321863,0.459605,0.337029
36,0.29182,0.454219,0.341463
37,0.276363,0.464991,0.343681
38,0.257439,0.472172,0.334812
39,0.252826,0.454219,0.345898
40,0.230844,0.454219,0.348115
41,0.249466,0.43447,0.345898
42,0.209908,0.438061,0.332594
43,0.211846,0.443447,0.341463
44,0.204893,0.438061,0.339246
45,0.223118,0.43088,0.354767
46,0.182993,0.445242,0.343681
47,0.189167,0.438061,0.350333
48,0.169536,0.429084,0.359202
49,0.166073,0.441652,0.359202
,,,
max,2.322146,0.495512,0.368071
min,0.166073,0.411131,0.314856
mean,0.64643218,0.46240568,0.3390244
