epoch,loss,dev,test
0,2.321298,0.382406,0.330377
1,2.060706,0.450628,0.312639
2,1.562096,0.472172,0.341463
3,1.327913,0.463196,0.343681
4,1.451117,0.495512,0.348115
5,0.991164,0.479354,0.312639
6,1.134159,0.500898,0.332594
7,1.001492,0.479354,0.317073
8,0.940664,0.464991,0.354767
9,0.819356,0.470377,0.323725
10,0.994174,0.482944,0.341463
11,0.964902,0.450628,0.35255
12,0.943101,0.463196,0.332594
13,0.780919,0.466786,0.337029
14,0.678296,0.486535,0.31929
15,0.675637,0.466786,0.32816
16,0.638366,0.481149,0.330377
17,0.60232,0.463196,0.339246
18,0.537176,0.470377,0.323725
19,0.54208,0.475763,0.317073
20,0.545502,0.473968,0.332594
21,0.506643,0.48474,0.332594
22,0.444583,0.475763,0.334812
23,0.450705,0.470377,0.337029
24,0.402729,0.48474,0.32816
25,0.417316,0.486535,0.343681
26,0.428163,0.479354,0.35255
27,0.385795,0.481149,0.325942
28,0.347991,0.497307,0.325942
29,0.316735,0.472172,0.32816
30,0.314664,0.491921,0.321508
31,0.338651,0.48833,0.350333
32,0.303458,0.48833,0.32816
33,0.291861,0.493716,0.341463
34,0.29638,0.495512,0.348115
35,0.291675,0.491921,0.339246
36,0.299323,0.479354,0.356984
37,0.245131,0.48474,0.350333
38,0.254524,0.48474,0.356984
39,0.227343,0.479354,0.341463
40,0.257047,0.481149,0.348115
41,0.211582,0.48474,0.356984
42,0.176401,0.499102,0.356984
43,0.193892,0.495512,0.345898
44,0.225475,0.48474,0.359202
45,0.213501,0.482944,0.345898
46,0.240301,0.497307,0.354767
47,0.180232,0.493716,0.359202
48,0.207439,0.504488,0.334812
49,0.192324,0.508079,0.356984
,,,
max,2.321298,0.508079,0.359202
min,0.176401,0.382406,0.312639
mean,0.60348604,0.47964096,0.33866958
