epoch,loss,dev,test
0,2.320846,0.40754,0.345898
1,2.004364,0.445242,0.343681
2,1.503225,0.470377,0.345898
3,1.000079,0.517056,0.35255
4,0.695189,0.502693,0.348115
5,0.508553,0.51526,0.35255
6,0.40514,0.535009,0.330377
7,0.335865,0.540395,0.305987
8,0.284389,0.552962,0.312639
9,0.23243,0.547576,0.334812
10,0.188514,0.563734,0.341463
11,0.17154,0.56553,0.330377
12,0.166376,0.558348,0.314856
13,0.155951,0.558348,0.343681
14,0.135102,0.552962,0.32816
15,0.133622,0.543986,0.32816
16,0.134673,0.549372,0.334812
17,0.117612,0.556553,0.325942
18,0.096267,0.56553,0.323725
19,0.082182,0.558348,0.330377
20,0.080324,0.560144,0.330377
21,0.078941,0.560144,0.323725
22,0.081642,0.551167,0.32816
23,0.060447,0.556553,0.332594
24,0.061894,0.561939,0.32816
25,0.049316,0.549372,0.314856
26,0.054932,0.558348,0.330377
27,0.063221,0.56553,0.345898
28,0.063686,0.551167,0.345898
29,0.081632,0.54219,0.356984
30,0.071425,0.522442,0.365854
31,0.076115,0.533214,0.35255
32,0.074763,0.552962,0.361419
33,0.061884,0.536804,0.374723
34,0.056833,0.536804,0.37694
35,0.066436,0.536804,0.396896
36,0.055758,0.540395,0.390244
37,0.07247,0.551167,0.372506
38,0.050672,0.545781,0.374723
39,0.055144,0.540395,0.390244
40,0.051351,0.5386,0.370288
41,0.05561,0.527828,0.359202
42,0.05711,0.529623,0.359202
43,0.050186,0.535009,0.361419
44,0.054366,0.545781,0.374723
45,0.048752,0.545781,0.370288
46,0.056435,0.543986,0.37694
47,0.061786,0.536804,0.361419
48,0.035127,0.54219,0.374723
49,0.032116,0.5386,0.363636
,,,
max,2.320846,0.56553,0.396896
min,0.032116,0.40754,0.305987
mean,0.24984586,0.5388869,0.34878056
