epoch,loss,dev,test
0,11.839393,0.495942,0.484702
1,11.114492,0.523302,0.525242
2,10.59895,0.515187,0.525752
3,10.102338,0.538141,0.527537
4,9.520673,0.533735,0.533401
5,8.934175,0.542546,0.541305
6,8.290209,0.536518,0.534421
7,7.590425,0.53304,0.540796
8,7.138956,0.538372,0.532381
9,6.429211,0.532576,0.545385
10,5.926494,0.525388,0.536461
11,5.472895,0.531185,0.536716
12,5.016886,0.534663,0.536716
13,4.637347,0.531649,0.543345
14,4.229971,0.533272,0.545895
15,3.942474,0.53559,0.537991
16,3.549116,0.527243,0.536206
17,3.35086,0.523997,0.535441
18,3.130565,0.527475,0.534676
19,2.900006,0.532112,0.542325
20,2.670693,0.536054,0.536971
21,2.496014,0.529794,0.54156
22,2.444321,0.52933,0.537991
23,2.202648,0.526316,0.540031
24,2.107951,0.533272,0.539776
25,1.957835,0.520983,0.541815
26,1.836465,0.51936,0.545895
27,1.74618,0.526316,0.533146
28,1.648367,0.527707,0.538246
29,1.569687,0.527707,0.539266
30,1.496405,0.517969,0.531617
31,1.463766,0.526548,0.539776
32,1.412318,0.529562,0.539521
33,1.375365,0.528403,0.537481
34,1.273102,0.521679,0.533656
35,1.263678,0.534895,0.534931
36,1.149632,0.527243,0.527027
37,1.146611,0.527707,0.532636
38,1.084633,0.525852,0.537736
39,1.035889,0.525388,0.531362
40,1.024347,0.525388,0.522438
41,1.02645,0.532808,0.531107
42,0.986874,0.52307,0.524732
43,1.004721,0.522142,0.528302
44,0.987228,0.522606,0.528302
45,0.954332,0.527939,0.521928
46,0.885803,0.527011,0.524477
47,0.863624,0.520519,0.521673
48,0.876965,0.528403,0.519123
49,0.918952,0.522606,0.528812
,,,
max,11.839393,0.542546,0.545895
min,0.863624,0.495942,0.484702
mean,3.53252584,0.5277302,0.53336056
