epoch,loss,dev,test
0,12.034018,0.498261,0.488016
1,11.208367,0.472061,0.472208
2,10.513843,0.476698,0.473738
3,9.773592,0.481799,0.477307
4,9.202084,0.491537,0.473228
5,8.723491,0.476466,0.471698
6,8.301268,0.472061,0.465579
7,7.836683,0.461859,0.463539
8,7.50433,0.462555,0.463539
9,6.958408,0.475771,0.465324
10,6.455339,0.46812,0.455635
11,6.094538,0.468815,0.467619
12,5.582423,0.464874,0.45895
13,5.24078,0.475075,0.465069
14,4.77583,0.463714,0.461754
15,4.503506,0.455367,0.455635
16,4.194399,0.469974,0.460224
17,3.933153,0.465105,0.460479
18,3.636136,0.461396,0.45487
19,3.339928,0.47322,0.456145
20,3.14055,0.464178,0.45742
21,2.972703,0.462091,0.446966
22,2.809381,0.463946,0.454615
23,2.596098,0.456295,0.443141
24,2.58762,0.450498,0.45181
25,2.361331,0.452585,0.439572
26,2.270456,0.45073,0.442631
27,2.08466,0.448412,0.445436
28,2.005745,0.45073,0.446201
29,1.833476,0.446557,0.441866
30,1.858473,0.449339,0.446456
31,1.741642,0.450962,0.445691
32,1.758359,0.447716,0.443396
33,1.716744,0.446093,0.440082
34,1.599921,0.440529,0.442886
35,1.556609,0.440992,0.435747
36,1.479242,0.451426,0.440337
37,1.429426,0.443775,0.442376
38,1.386477,0.442615,0.438807
39,1.509972,0.435196,0.435747
40,1.422612,0.44447,0.441866
41,1.323443,0.44447,0.436767
42,1.219158,0.449107,0.443906
43,1.208703,0.448644,0.451555
44,1.217614,0.443079,0.444671
45,1.203927,0.442615,0.443906
46,1.232367,0.448412,0.443396
47,1.085007,0.440297,0.434472
48,1.115318,0.449339,0.450025
49,1.020157,0.443311,0.442631
,,,
max,12.034018,0.498261,0.488016
min,1.020157,0.435196,0.434472
mean,3.85118614,0.45766274,0.45249868
