epoch,loss,dev,test
0,11.985486,0.491305,0.496175
1,11.280842,0.499188,0.491586
2,10.731849,0.494319,0.494901
3,10.117461,0.485973,0.489291
4,9.456691,0.475539,0.465579
5,8.931447,0.474843,0.475778
6,8.380913,0.482031,0.478582
7,7.856566,0.474843,0.468893
8,7.467982,0.472757,0.464049
9,6.883444,0.460236,0.463539
10,6.51124,0.470438,0.475778
11,6.086851,0.46441,0.473738
12,5.648509,0.461164,0.475013
13,5.332454,0.463251,0.474503
14,4.915803,0.461164,0.474758
15,4.62185,0.45699,0.463029
16,4.351762,0.459309,0.474248
17,4.063692,0.458382,0.474758
18,3.865963,0.455599,0.465834
19,3.656887,0.456759,0.464049
20,3.436707,0.456295,0.460224
21,3.151396,0.453513,0.456145
22,3.08359,0.450962,0.466599
23,2.910741,0.447252,0.460734
24,2.699172,0.446093,0.464304
25,2.615794,0.442152,0.459459
26,2.50585,0.449107,0.45589
27,2.431197,0.440065,0.459204
28,2.328231,0.444934,0.462009
29,2.148334,0.442383,0.462264
30,2.15114,0.447484,0.45283
31,2.125373,0.445861,0.465069
32,1.993484,0.442152,0.459714
33,1.850702,0.434964,0.458695
34,1.820333,0.444702,0.450535
35,1.776126,0.445166,0.449006
36,1.738904,0.433805,0.447986
37,1.704909,0.436819,0.45538
38,1.629636,0.436123,0.449006
39,1.654585,0.448412,0.463029
40,1.497169,0.439137,0.454105
41,1.573669,0.436819,0.447986
42,1.428047,0.446093,0.454615
43,1.510484,0.428936,0.440847
44,1.475849,0.442152,0.448241
45,1.382535,0.429631,0.440847
46,1.341461,0.441456,0.454105
47,1.328961,0.433341,0.455635
48,1.275969,0.4345,0.45283
49,1.252236,0.448412,0.4513
,,,
max,11.985486,0.499188,0.496175
min,1.252236,0.428936,0.440847
mean,4.03940552,0.45374442,0.46325348
