epoch,loss,dev,test
0,9.882427,0.481865,0.528082
1,1.22207,0.549223,0.630926
2,0.289185,0.541451,0.624362
3,0.176991,0.536269,0.630197
4,0.134729,0.556995,0.652079
5,0.056355,0.541451,0.649161
6,0.067845,0.536269,0.636761
7,0.098583,0.518135,0.630926
8,0.447758,0.556995,0.63822
9,0.229463,0.520725,0.61488
10,0.113716,0.531088,0.611962
11,0.070447,0.57772,0.658643
12,0.027588,0.57772,0.664478
13,0.026327,0.57513,0.676878
14,0.109423,0.572539,0.641138
15,0.074956,0.57513,0.649161
16,0.09322,0.544041,0.628009
17,0.046057,0.551813,0.65062
18,0.367166,0.450777,0.569657
19,0.355414,0.494819,0.587892
20,0.436614,0.572539,0.663749
21,0.529645,0.593264,0.678337
22,0.389871,0.619171,0.681255
23,0.36059,0.564767,0.671043
24,0.395049,0.603627,0.659373
25,0.272909,0.598446,0.703866
26,1.51596,0.580311,0.68636
27,0.350023,0.598446,0.676878
28,0.375473,0.541451,0.689278
29,0.442692,0.564767,0.703136
