epoch,loss,dev,test
0,8.952257,0.549223,0.55434
1,1.036365,0.525907,0.592268
2,0.326861,0.556995,0.617068
3,0.123091,0.57772,0.63822
4,0.131927,0.569948,0.624362
5,0.06247,0.606218,0.619256
6,0.040458,0.601036,0.632385
7,0.040216,0.572539,0.632385
8,0.019501,0.57513,0.646973
9,0.024731,0.559585,0.637491
10,0.017335,0.585492,0.63895
11,0.022673,0.593264,0.649161
12,0.014372,0.611399,0.653538
13,0.011378,0.621762,0.652079
14,0.019703,0.590674,0.629468
15,0.008085,0.588083,0.641138
16,0.006745,0.611399,0.659373
17,0.004102,0.601036,0.660832
18,0.002585,0.601036,0.661561
19,0.005405,0.580311,0.668855
20,0.029111,0.562176,0.622174
21,0.0145,0.556995,0.643326
22,0.032257,0.598446,0.648432
23,0.056963,0.611399,0.655726
24,0.017266,0.606218,0.649161
25,0.02619,0.559585,0.609774
26,0.069738,0.562176,0.63822
27,0.236429,0.572539,0.601021
28,0.561625,0.541451,0.631656
29,0.802374,0.585492,0.594457
