epoch,loss,dev,test
0,9.585166,0.463731,0.466813
1,3.583549,0.494819,0.516411
2,1.146791,0.497409,0.557257
3,0.535759,0.502591,0.553611
4,0.27828,0.520725,0.544128
5,0.277283,0.523316,0.53027
6,0.213167,0.505181,0.547775
7,0.319677,0.502591,0.520788
8,0.318932,0.502591,0.530999
9,0.519913,0.484456,0.533187
10,0.414207,0.474093,0.548505
11,0.531354,0.487047,0.520788
12,0.52577,0.505181,0.547046
13,0.580906,0.487047,0.533187
14,0.610097,0.53886,0.539023
15,0.544445,0.484456,0.559446
16,0.411611,0.531088,0.575492
17,0.408941,0.533679,0.572575
18,0.333599,0.531088,0.594457
19,0.31659,0.487047,0.539023
20,0.471219,0.484456,0.531729
21,0.565755,0.531088,0.549234
22,0.394827,0.515544,0.562363
23,0.622995,0.492228,0.556528
24,0.4195,0.476684,0.546317
25,0.61551,0.497409,0.544858
26,0.437038,0.505181,0.57841
27,0.367841,0.510363,0.609044
28,0.397071,0.520725,0.606856
29,0.332563,0.505181,0.584245
