epoch,loss,dev,test
0,9.608945,0.427461,0.447848
1,3.421209,0.484456,0.503282
2,1.014432,0.427461,0.522976
3,0.549432,0.463731,0.527352
4,0.338233,0.520725,0.552152
5,0.287736,0.494819,0.501094
6,0.315568,0.466321,0.515682
7,0.182794,0.468912,0.5062
8,0.271179,0.450777,0.477753
9,0.315304,0.466321,0.536105
10,0.26788,0.471503,0.531729
11,0.326158,0.494819,0.500365
12,0.249617,0.5,0.520788
13,0.352403,0.476684,0.54194
14,0.454354,0.484456,0.522976
15,0.648766,0.497409,0.523705
16,0.479991,0.471503,0.516411
17,0.44893,0.471503,0.528082
18,0.348086,0.489637,0.520058
19,0.22081,0.536269,0.544128
20,0.190423,0.562176,0.544128
21,0.068703,0.523316,0.525164
22,0.057337,0.512953,0.558716
23,0.142886,0.510363,0.557987
24,0.077791,0.512953,0.549234
25,0.235256,0.481865,0.54194
26,0.262622,0.466321,0.540481
27,0.153086,0.463731,0.540481
28,0.176991,0.484456,0.491612
29,0.241048,0.497409,0.547775
