epoch,loss,dev,test
0,1.829872,0.4,0.285714
1,1.555397,0.422222,0.298137
2,1.028158,0.377778,0.279503
3,0.443716,0.444444,0.254658
4,0.249741,0.466667,0.285714
5,0.23156,0.466667,0.298137
6,0.228177,0.333333,0.298137
7,0.424517,0.355556,0.31677
8,0.155061,0.355556,0.335404
9,0.239111,0.355556,0.329193
10,0.092182,0.355556,0.298137
11,0.103453,0.355556,0.291925
12,0.085009,0.377778,0.298137
13,0.093571,0.355556,0.279503
14,0.138159,0.355556,0.279503
15,0.100476,0.355556,0.285714
16,0.233683,0.355556,0.298137
17,0.099185,0.377778,0.298137
18,0.092709,0.288889,0.31677
19,0.053012,0.266667,0.322981
20,0.073228,0.288889,0.310559
21,0.079632,0.244444,0.341615
22,0.032955,0.244444,0.347826
23,0.042526,0.244444,0.322981
24,0.047006,0.266667,0.31677
25,0.049607,0.266667,0.329193
26,0.066712,0.311111,0.322981
27,0.027671,0.288889,0.310559
28,0.034382,0.266667,0.31677
29,0.046706,0.288889,0.322981
