epoch,loss,dev,test
0,0.431766,0.4,0.322981
1,0.207861,0.377778,0.347826
2,0.150437,0.333333,0.360248
3,0.271284,0.4,0.341615
4,0.145377,0.422222,0.36646
5,0.138129,0.444444,0.354037
6,0.105318,0.355556,0.36646
7,0.21023,0.288889,0.36646
8,0.072257,0.311111,0.372671
9,0.090883,0.333333,0.347826
10,0.033557,0.377778,0.347826
11,0.057686,0.355556,0.329193
12,0.030976,0.355556,0.329193
13,0.035211,0.311111,0.31677
14,0.026085,0.333333,0.341615
15,0.029247,0.333333,0.341615
16,0.017139,0.333333,0.354037
17,0.023858,0.311111,0.360248
18,0.016265,0.288889,0.347826
19,0.013131,0.333333,0.354037
20,0.039038,0.311111,0.341615
21,0.020626,0.288889,0.341615
22,0.017808,0.244444,0.360248
23,0.004678,0.288889,0.347826
24,0.006138,0.288889,0.354037
25,0.018941,0.311111,0.347826
26,0.018843,0.333333,0.354037
