epoch,loss,dev,test
0,1.831,0.444444,0.360248
1,1.80281,0.4,0.322981
2,1.75414,0.377778,0.322981
3,1.624502,0.333333,0.310559
4,1.28478,0.333333,0.310559
5,0.723144,0.333333,0.285714
6,0.399683,0.355556,0.26087
7,0.344188,0.311111,0.254658
8,0.357455,0.377778,0.298137
9,0.289562,0.355556,0.298137
10,0.164486,0.4,0.304348
11,0.568073,0.4,0.31677
12,0.247004,0.444444,0.298137
13,0.232227,0.444444,0.298137
14,0.234378,0.377778,0.31677
15,0.180403,0.4,0.329193
16,0.21427,0.377778,0.347826
17,0.093771,0.4,0.341615
18,0.069465,0.377778,0.347826
19,0.150561,0.422222,0.341615
20,0.113926,0.355556,0.354037
21,0.096986,0.333333,0.310559
22,0.168729,0.311111,0.341615
23,0.053543,0.288889,0.329193
24,0.077254,0.266667,0.347826
25,0.131503,0.288889,0.354037
26,0.069623,0.288889,0.335404
27,0.056674,0.355556,0.354037
28,0.072361,0.333333,0.354037
29,0.04066,0.333333,0.347826
