epoch,loss,dev,test
0,1.830738,0.377778,0.298137
1,1.800513,0.377778,0.31677
2,1.733343,0.311111,0.298137
3,1.550483,0.288889,0.298137
4,1.112385,0.288889,0.31677
5,0.629849,0.311111,0.31677
6,0.443423,0.311111,0.341615
7,0.334664,0.377778,0.304348
8,0.276811,0.355556,0.304348
9,0.446556,0.377778,0.310559
10,0.285042,0.355556,0.322981
11,0.231958,0.333333,0.329193
12,0.315831,0.377778,0.341615
13,0.101526,0.355556,0.341615
14,0.177883,0.355556,0.335404
15,0.163656,0.355556,0.341615
16,0.133165,0.355556,0.360248
17,0.122934,0.355556,0.347826
18,0.068785,0.377778,0.347826
19,0.084207,0.333333,0.341615
20,0.115303,0.333333,0.354037
21,0.066742,0.355556,0.341615
22,0.089686,0.333333,0.335404
23,0.075309,0.377778,0.322981
24,0.050079,0.4,0.322981
25,0.030942,0.377778,0.341615
26,0.045081,0.333333,0.347826
27,0.034484,0.333333,0.335404
28,0.019092,0.311111,0.354037
29,0.082946,0.311111,0.36646
