epoch,loss,dev,test
0,9.948152,0.471503,0.596645
1,1.170833,0.533679,0.63822
2,0.32814,0.549223,0.653538
3,0.134036,0.551813,0.66302
4,0.09717,0.549223,0.672502
5,0.078704,0.564767,0.681255
6,0.059227,0.582902,0.661561
7,0.039682,0.588083,0.678337
8,0.056109,0.559585,0.681255
9,0.062501,0.569948,0.680525
10,0.037239,0.544041,0.679796
11,0.041397,0.541451,0.673231
12,0.115433,0.541451,0.652808
13,0.081437,0.593264,0.680525
14,0.024697,0.569948,0.679796
15,0.014037,0.556995,0.676149
16,0.033215,0.567358,0.676878
17,0.067194,0.544041,0.66229
18,0.13662,0.46114,0.641138
19,0.264327,0.520725,0.679796
20,0.173499,0.5,0.667396
21,0.257033,0.582902,0.658643
22,0.258845,0.556995,0.660102
23,0.292747,0.544041,0.636032
24,0.286409,0.544041,0.663749
25,0.342524,0.572539,0.69876
26,0.428084,0.585492,0.687819
27,0.334729,0.598446,0.69876
28,0.465045,0.588083,0.690737
29,0.597676,0.603627,0.701678
