epoch,loss,dev,test
0,9.636924,0.474093,0.543399
1,1.076364,0.567358,0.60248
2,0.250317,0.619171,0.606127
3,0.154293,0.61399,0.633115
4,0.071734,0.580311,0.630926
5,0.063246,0.585492,0.630926
6,0.032985,0.598446,0.640408
7,0.055351,0.57772,0.657914
8,0.029365,0.564767,0.654267
9,0.038531,0.588083,0.646244
10,0.03046,0.572539,0.642597
11,0.035012,0.562176,0.644055
12,0.085786,0.593264,0.654267
13,0.022757,0.572539,0.627279
14,0.011911,0.549223,0.644055
15,0.015944,0.556995,0.65062
16,0.007575,0.580311,0.665208
17,0.006662,0.554404,0.669584
18,0.004991,0.541451,0.665208
19,0.004901,0.567358,0.672502
20,0.002998,0.57513,0.67469
21,0.003418,0.57772,0.667396
22,0.00303,0.580311,0.673231
23,0.00131,0.572539,0.676149
24,0.001379,0.572539,0.676149
25,0.001035,0.57513,0.675419
26,0.001181,0.580311,0.67469
27,0.00096,0.57772,0.671772
28,0.0007,0.57772,0.670314
29,0.000954,0.57772,0.671772
