epoch,loss,dev,test
0,1.831832,0.355556,0.279503
1,1.587664,0.444444,0.310559
2,1.090661,0.422222,0.31677
3,0.454584,0.377778,0.285714
4,0.239012,0.333333,0.304348
5,0.219528,0.377778,0.329193
6,0.094428,0.377778,0.36646
7,0.459713,0.355556,0.397516
8,0.150352,0.355556,0.385093
9,0.167494,0.355556,0.36646
10,0.131326,0.311111,0.372671
11,0.090117,0.355556,0.347826
12,0.17506,0.377778,0.329193
13,0.102818,0.333333,0.304348
14,0.105931,0.355556,0.341615
15,0.085784,0.4,0.341615
16,0.0858,0.4,0.36646
17,0.079327,0.4,0.372671
18,0.058106,0.4,0.354037
19,0.071358,0.4,0.335404
20,0.038884,0.377778,0.31677
21,0.03523,0.4,0.310559
22,0.031941,0.355556,0.329193
23,0.045373,0.355556,0.335404
24,0.02071,0.355556,0.335404
25,0.058127,0.355556,0.329193
26,0.01584,0.355556,0.354037
27,0.025258,0.333333,0.341615
28,0.013147,0.333333,0.341615
29,0.033452,0.333333,0.329193
