epoch,loss,dev,test
0,1.837636,0.355556,0.322981
1,1.603954,0.422222,0.341615
2,1.116718,0.4,0.310559
3,0.510635,0.4,0.31677
4,0.260534,0.422222,0.335404
5,0.180717,0.444444,0.372671
6,0.171585,0.4,0.347826
7,0.219995,0.333333,0.354037
8,0.085508,0.355556,0.354037
9,0.063025,0.333333,0.329193
10,0.079867,0.288889,0.335404
11,0.087084,0.311111,0.360248
12,0.170683,0.355556,0.341615
13,0.050821,0.4,0.298137
14,0.036367,0.4,0.322981
15,0.040158,0.4,0.347826
16,0.125632,0.4,0.341615
17,0.02496,0.4,0.329193
18,0.033814,0.422222,0.335404
19,0.026721,0.422222,0.31677
20,0.010427,0.444444,0.335404
21,0.007245,0.444444,0.31677
22,0.014431,0.444444,0.322981
23,0.01854,0.444444,0.322981
24,0.005165,0.466667,0.347826
25,0.005843,0.488889,0.322981
26,0.017346,0.511111,0.329193
27,0.004686,0.444444,0.31677
28,0.011654,0.466667,0.329193
29,0.015976,0.466667,0.304348
