epoch,loss,dev,test
0,9.784201,0.463731,0.495988
1,3.544858,0.494819,0.539023
2,1.159938,0.497409,0.573304
3,0.616237,0.476684,0.54194
4,0.324923,0.53886,0.557257
5,0.426954,0.505181,0.521517
6,0.377784,0.512953,0.511306
7,0.374194,0.463731,0.533187
8,0.308816,0.468912,0.556528
9,0.419908,0.53886,0.546317
10,0.47929,0.512953,0.536105
11,0.545931,0.455959,0.552881
12,0.362511,0.443005,0.528811
13,0.509962,0.466321,0.545587
14,0.294727,0.528497,0.605398
15,0.350002,0.515544,0.587163
16,0.354309,0.5,0.600292
17,0.216609,0.484456,0.584245
18,0.528638,0.492228,0.552152
19,0.614881,0.518135,0.56674
20,0.37331,0.531088,0.574034
21,0.329537,0.505181,0.576222
22,0.388908,0.523316,0.569657
23,0.401725,0.518135,0.587892
24,0.21649,0.505181,0.558716
25,0.202906,0.518135,0.580598
26,0.270214,0.528497,0.579139
27,0.337406,0.510363,0.589351
28,0.436711,0.533679,0.592998
29,0.352177,0.525907,0.552881
