epoch,loss,dev,test
0,9.410201,0.443005,0.462436
1,3.141268,0.445596,0.496718
2,1.020319,0.453368,0.5062
3,0.482683,0.484456,0.496718
4,0.288216,0.46114,0.471918
5,0.275868,0.437824,0.519329
6,0.310553,0.453368,0.499635
7,0.371858,0.450777,0.479942
8,0.372411,0.430052,0.497447
9,0.322525,0.479275,0.5062
10,0.429084,0.476684,0.485777
11,0.418031,0.453368,0.512035
12,0.304892,0.46114,0.504741
13,0.306048,0.479275,0.511306
14,0.1997,0.515544,0.530999
15,0.205765,0.450777,0.536834
16,0.30609,0.476684,0.508388
17,0.541934,0.458549,0.544128
18,0.261615,0.489637,0.544128
19,0.363941,0.489637,0.54267
20,0.314018,0.474093,0.497447
21,0.203108,0.5,0.544858
22,0.105298,0.458549,0.565281
23,0.233707,0.479275,0.500365
24,0.077194,0.471503,0.55434
25,0.173199,0.471503,0.544128
26,0.265345,0.474093,0.52954
27,0.180983,0.476684,0.55434
28,0.475621,0.437824,0.538293
29,0.117286,0.458549,0.55434
