epoch,loss,dev,test
0,1.830849,0.333333,0.341615
1,1.802316,0.311111,0.304348
2,1.751588,0.355556,0.335404
3,1.634362,0.377778,0.347826
4,1.326789,0.4,0.31677
5,0.813472,0.355556,0.310559
6,0.383332,0.355556,0.310559
7,0.303882,0.333333,0.285714
8,0.336239,0.333333,0.304348
9,0.328975,0.311111,0.285714
10,0.17495,0.355556,0.335404
11,0.111779,0.355556,0.347826
12,0.292137,0.333333,0.335404
13,0.198283,0.333333,0.322981
14,0.190262,0.288889,0.31677
15,0.115492,0.333333,0.310559
16,0.100664,0.355556,0.304348
17,0.050735,0.4,0.322981
18,0.142395,0.355556,0.322981
19,0.149076,0.377778,0.31677
20,0.087232,0.377778,0.347826
21,0.080195,0.377778,0.360248
22,0.072495,0.377778,0.36646
23,0.106724,0.355556,0.354037
24,0.046998,0.355556,0.341615
25,0.116857,0.333333,0.341615
26,0.057486,0.355556,0.322981
27,0.058347,0.311111,0.329193
28,0.031631,0.333333,0.335404
29,0.159749,0.311111,0.329193
