epoch,loss,dev,test
0,1.831211,0.333333,0.329193
1,1.801468,0.355556,0.372671
2,1.743902,0.4,0.310559
3,1.596881,0.377778,0.298137
4,1.250296,0.355556,0.279503
5,0.686759,0.333333,0.285714
6,0.341857,0.355556,0.273292
7,0.378191,0.288889,0.285714
8,0.266977,0.266667,0.279503
9,0.162229,0.311111,0.310559
10,0.291746,0.311111,0.291925
11,0.362458,0.311111,0.26087
12,0.235025,0.355556,0.298137
13,0.11637,0.422222,0.26087
14,0.193014,0.377778,0.285714
15,0.095993,0.355556,0.310559
16,0.088587,0.4,0.310559
17,0.078843,0.4,0.298137
18,0.075517,0.4,0.291925
19,0.105742,0.4,0.304348
20,0.028585,0.377778,0.291925
21,0.032847,0.4,0.285714
22,0.090466,0.422222,0.304348
23,0.023445,0.422222,0.298137
24,0.063444,0.422222,0.298137
25,0.025402,0.4,0.31677
26,0.017481,0.4,0.322981
27,0.033876,0.4,0.310559
28,0.024827,0.355556,0.31677
29,0.017334,0.377778,0.310559
