epoch,loss,dev,test
0,7.139287,0.390625,0.419558
1,0.673563,0.445312,0.488959
2,0.199311,0.429688,0.498423
3,0.06501,0.398438,0.504732
4,0.041133,0.421875,0.511041
5,0.021365,0.421875,0.520505
6,0.013144,0.417969,0.529968
7,0.014501,0.421875,0.526814
8,0.014346,0.429688,0.520505
9,0.009735,0.429688,0.529968
10,0.00851,0.4375,0.533123
11,0.008458,0.4375,0.539432
12,0.00486,0.433594,0.529968
13,0.005046,0.433594,0.529968
14,0.004361,0.441406,0.529968
15,0.002723,0.449219,0.533123
16,0.002651,0.445312,0.536278
17,0.002677,0.449219,0.536278
18,0.006974,0.445312,0.526814
19,0.001704,0.433594,0.533123
20,0.002652,0.433594,0.539432
21,0.004019,0.4375,0.536278
22,0.002163,0.433594,0.548896
23,0.002878,0.429688,0.533123
24,0.001736,0.4375,0.533123
25,0.001533,0.4375,0.533123
26,0.001214,0.4375,0.533123
27,0.001105,0.441406,0.533123
28,0.001262,0.4375,0.533123
29,0.000789,0.433594,0.536278
