epoch,loss,dev,test
0,1.101773,0.363636,0.428571
1,0.993003,0.340909,0.357143
2,0.862139,0.386364,0.285714
3,0.652878,0.363636,0.303571
4,0.434123,0.363636,0.321429
5,0.235027,0.318182,0.303571
6,0.118904,0.318182,0.285714
7,0.078514,0.340909,0.303571
8,0.034972,0.363636,0.339286
9,0.058774,0.386364,0.321429
10,0.016803,0.363636,0.285714
11,0.023374,0.363636,0.321429
12,0.024989,0.318182,0.321429
13,0.022225,0.318182,0.339286
14,0.012843,0.318182,0.321429
15,0.013487,0.295455,0.285714
16,0.03748,0.295455,0.285714
17,0.026666,0.295455,0.285714
18,0.019595,0.318182,0.285714
19,0.016496,0.295455,0.232143
20,0.005291,0.318182,0.232143
21,0.011648,0.295455,0.267857
22,0.009361,0.295455,0.285714
23,0.008616,0.295455,0.285714
24,0.002859,0.272727,0.303571
25,0.003031,0.272727,0.285714
26,0.00482,0.295455,0.232143
27,0.007292,0.318182,0.232143
28,0.001906,0.318182,0.25
29,0.004076,0.318182,0.267857
