epoch,loss,dev,test
0,6.714463,0.425781,0.378549
1,1.692825,0.410156,0.429022
2,0.38356,0.425781,0.460568
3,0.181319,0.429688,0.444795
4,0.094968,0.449219,0.451104
5,0.079677,0.429688,0.470032
6,0.039067,0.429688,0.473186
7,0.041186,0.449219,0.473186
8,0.069531,0.464844,0.460568
9,0.027164,0.4375,0.435331
10,0.040578,0.460938,0.432177
11,0.025237,0.460938,0.429022
12,0.028519,0.441406,0.429022
13,0.012365,0.449219,0.451104
14,0.043035,0.433594,0.435331
15,0.01189,0.46875,0.44795
16,0.053934,0.414062,0.470032
17,0.063368,0.445312,0.457413
18,0.077558,0.40625,0.44795
19,0.100943,0.402344,0.454259
20,0.128042,0.421875,0.451104
21,0.314635,0.414062,0.397476
22,0.188447,0.410156,0.432177
23,0.212131,0.417969,0.413249
24,0.353688,0.476562,0.425868
25,0.440839,0.480469,0.438486
26,0.201059,0.449219,0.40694
27,0.173356,0.445312,0.410095
28,0.230722,0.46875,0.470032
29,0.282257,0.492188,0.470032
