epoch,loss,dev,test
0,1.09863,0.272727,0.410714
1,1.088308,0.295455,0.392857
2,1.07378,0.318182,0.285714
3,1.051328,0.295455,0.267857
4,1.01773,0.363636,0.267857
5,0.971804,0.363636,0.25
6,0.896224,0.363636,0.267857
7,0.776908,0.363636,0.303571
8,0.612463,0.409091,0.303571
9,0.465451,0.363636,0.339286
10,0.337895,0.363636,0.357143
11,0.237566,0.340909,0.357143
12,0.200528,0.340909,0.357143
13,0.12029,0.295455,0.321429
14,0.090061,0.295455,0.303571
15,0.089185,0.295455,0.303571
16,0.103923,0.272727,0.285714
17,0.048137,0.272727,0.285714
18,0.054645,0.272727,0.267857
19,0.035542,0.295455,0.285714
20,0.316662,0.295455,0.285714
21,0.146168,0.272727,0.303571
22,0.031392,0.272727,0.285714
23,0.040847,0.272727,0.285714
24,0.088761,0.272727,0.267857
25,0.065078,0.318182,0.267857
26,0.044989,0.363636,0.25
27,0.021434,0.386364,0.25
28,0.031425,0.409091,0.25
29,0.058812,0.386364,0.267857
