epoch,loss,dev,test
0,6.039597,0.382812,0.33123
1,5.670943,0.359375,0.324921
2,4.728525,0.351562,0.435331
3,3.735364,0.328125,0.337539
4,3.256346,0.394531,0.422713
5,2.778968,0.421875,0.410095
6,2.7452,0.40625,0.384858
7,3.502011,0.441406,0.429022
8,2.396298,0.40625,0.413249
9,2.091707,0.378906,0.394322
10,1.933738,0.398438,0.403785
11,1.911574,0.414062,0.394322
12,1.783041,0.390625,0.359621
13,1.712478,0.414062,0.416404
14,1.564296,0.371094,0.33123
15,1.585342,0.382812,0.369085
16,1.417255,0.386719,0.359621
17,1.396488,0.382812,0.337539
18,1.311391,0.410156,0.365931
19,1.623905,0.363281,0.33123
20,1.346153,0.398438,0.350158
21,1.273747,0.386719,0.337539
22,1.131413,0.410156,0.353312
23,1.133524,0.394531,0.347003
24,1.14936,0.417969,0.337539
25,1.133815,0.390625,0.359621
26,1.076551,0.402344,0.315457
27,1.004304,0.390625,0.337539
28,1.0006,0.402344,0.353312
29,0.906881,0.386719,0.375394
,,,
max,6.039597,0.441406,0.435331
