epoch,loss,dev,test
0,1.098547,0.386364,0.375
1,1.088599,0.386364,0.303571
2,1.040175,0.340909,0.303571
3,0.883609,0.409091,0.285714
4,0.592442,0.431818,0.267857
5,0.380458,0.454545,0.25
6,0.154065,0.363636,0.285714
7,0.278087,0.363636,0.267857
8,0.05915,0.386364,0.267857
9,0.150172,0.340909,0.267857
10,0.342499,0.340909,0.267857
11,0.271464,0.340909,0.267857
12,0.225401,0.340909,0.267857
13,0.122814,0.386364,0.267857
14,0.139036,0.340909,0.267857
15,0.245278,0.340909,0.285714
16,0.092238,0.340909,0.285714
17,0.136585,0.340909,0.303571
18,0.173672,0.318182,0.303571
19,0.227092,0.318182,0.303571
20,0.152759,0.318182,0.285714
21,0.154035,0.340909,0.285714
22,0.103794,0.318182,0.285714
23,0.097415,0.318182,0.303571
24,0.068718,0.318182,0.303571
25,0.090494,0.340909,0.303571
26,0.082676,0.340909,0.285714
27,0.088547,0.340909,0.285714
28,0.077058,0.340909,0.285714
29,0.034249,0.340909,0.303571
,,,
max,1.098547,0.454545,0.375
