epoch,loss,dev,test
0,5.989492,0.417969,0.410095
1,5.102581,0.433594,0.419558
2,4.528497,0.4375,0.438486
3,4.009718,0.441406,0.438486
4,3.737782,0.429688,0.48265
5,3.319517,0.429688,0.466877
6,3.041031,0.46875,0.479495
7,2.798774,0.449219,0.466877
8,2.672632,0.441406,0.457413
9,2.382172,0.429688,0.44795
10,2.286939,0.457031,0.470032
11,2.258309,0.4375,0.460568
12,2.316459,0.460938,0.444795
13,2.581515,0.453125,0.425868
14,3.365469,0.429688,0.44164
15,2.520679,0.453125,0.438486
16,2.451729,0.449219,0.413249
17,2.01139,0.449219,0.444795
18,2.089454,0.476562,0.44164
19,1.897532,0.457031,0.444795
20,1.825291,0.4375,0.438486
21,1.745273,0.480469,0.438486
22,1.787596,0.472656,0.429022
23,1.791242,0.441406,0.451104
24,1.769942,0.4375,0.451104
25,1.636266,0.46875,0.425868
26,1.564601,0.445312,0.457413
27,1.680307,0.492188,0.44164
28,1.473955,0.464844,0.44164
29,1.460294,0.4375,0.44164
,,,
max,5.989492,0.492188,0.48265
