epoch,loss,dev,test
0,1.098645,0.340909,0.321429
1,1.071777,0.363636,0.303571
2,0.995055,0.431818,0.285714
3,0.835159,0.454545,0.303571
4,0.534395,0.431818,0.285714
5,0.305574,0.386364,0.267857
6,0.172491,0.409091,0.267857
7,0.20249,0.409091,0.303571
8,0.205504,0.409091,0.303571
9,0.149859,0.386364,0.303571
10,0.154611,0.386364,0.303571
11,0.210639,0.363636,0.285714
12,0.110909,0.363636,0.267857
13,0.124846,0.340909,0.285714
14,0.156766,0.318182,0.285714
15,0.199151,0.340909,0.285714
16,0.067109,0.340909,0.285714
17,0.072746,0.363636,0.267857
18,0.11402,0.386364,0.214286
19,0.327758,0.386364,0.232143
20,0.08938,0.409091,0.232143
21,0.083523,0.409091,0.25
22,0.138289,0.409091,0.25
23,0.190266,0.409091,0.25
24,0.085568,0.409091,0.267857
25,0.179109,0.363636,0.267857
26,0.059794,0.363636,0.285714
27,0.159043,0.363636,0.285714
28,0.066392,0.340909,0.285714
29,0.104695,0.340909,0.285714
,,,
max,1.098645,0.454545,0.321429
