epoch,loss,dev,test
0,6.042487,0.40625,0.451104
1,6.018459,0.390625,0.44164
2,5.259673,0.402344,0.444795
3,4.324309,0.355469,0.356467
4,3.748296,0.355469,0.356467
5,3.235822,0.382812,0.413249
6,2.896116,0.371094,0.375394
7,2.405342,0.332031,0.33123
8,2.230906,0.359375,0.33123
9,1.997591,0.375,0.378549
10,2.278502,0.367188,0.328076
11,1.646624,0.351562,0.394322
12,1.478078,0.351562,0.347003
13,1.359348,0.34375,0.365931
14,1.171229,0.359375,0.362776
15,1.171998,0.324219,0.397476
16,0.995309,0.347656,0.381703
17,0.995799,0.332031,0.337539
18,1.06995,0.34375,0.359621
19,1.06899,0.375,0.37224
20,0.951084,0.351562,0.353312
21,0.9645,0.351562,0.343849
22,0.763249,0.351562,0.391167
23,0.712039,0.355469,0.384858
24,0.757278,0.339844,0.375394
25,0.658001,0.367188,0.378549
26,0.942558,0.351562,0.37224
27,0.770499,0.367188,0.359621
28,0.811026,0.359375,0.356467
29,0.688113,0.355469,0.369085
,,,
max,6.042487,0.40625,0.451104
