epoch,loss,dev,test
0,1.098498,0.409091,0.321429
1,1.087958,0.386364,0.357143
2,1.074389,0.340909,0.464286
3,1.050392,0.318182,0.392857
4,1.021905,0.318182,0.357143
5,0.978513,0.363636,0.321429
6,0.899636,0.363636,0.321429
7,0.789536,0.363636,0.339286
8,0.637413,0.386364,0.357143
9,0.483285,0.363636,0.375
10,0.341677,0.340909,0.321429
11,0.200673,0.295455,0.303571
12,0.23627,0.295455,0.303571
13,0.155534,0.340909,0.285714
14,0.137053,0.340909,0.321429
15,0.153971,0.363636,0.321429
16,0.085508,0.340909,0.321429
17,0.086604,0.340909,0.339286
18,0.10741,0.363636,0.339286
19,0.051584,0.409091,0.339286
20,0.053444,0.409091,0.321429
21,0.053607,0.386364,0.321429
22,0.037014,0.386364,0.321429
23,0.013991,0.386364,0.321429
24,0.100234,0.363636,0.321429
25,0.114277,0.363636,0.285714
26,0.282164,0.386364,0.267857
27,0.008146,0.386364,0.285714
28,0.038419,0.363636,0.303571
29,0.012395,0.340909,0.303571
,,,
max,1.098498,0.409091,0.464286
