epoch,loss,dev,test
0,9.734914,0.393519,0.446316
1,1.067492,0.462963,0.501053
2,0.257216,0.523148,0.509474
3,0.136269,0.523148,0.513684
4,0.08102,0.527778,0.513684
5,0.050306,0.523148,0.515789
6,0.03649,0.527778,0.511579
7,0.051082,0.550926,0.509474
8,0.021636,0.537037,0.507368
9,0.016363,0.546296,0.52
10,0.029632,0.546296,0.515789
11,0.015019,0.550926,0.522105
12,0.009553,0.541667,0.52
13,0.010186,0.550926,0.511579
14,0.017716,0.546296,0.515789
15,0.011336,0.537037,0.517895
16,0.016992,0.550926,0.511579
17,0.004758,0.550926,0.507368
18,0.009661,0.555556,0.515789
19,0.009271,0.550926,0.513684
20,0.019069,0.546296,0.509474
21,0.008647,0.546296,0.513684
22,0.004435,0.541667,0.517895
23,0.024135,0.541667,0.524211
24,0.018608,0.550926,0.524211
25,0.010801,0.550926,0.52
26,0.007262,0.560185,0.517895
27,0.019487,0.550926,0.517895
28,0.002224,0.550926,0.517895
29,0.001223,0.546296,0.522105
