epoch,loss,dev,test
0,1.644884,0.444444,0.361111
1,1.472372,0.333333,0.388889
2,1.160548,0.444444,0.416667
3,0.713307,0.444444,0.388889
4,0.358135,0.444444,0.361111
5,0.214258,0.333333,0.361111
6,0.123778,0.333333,0.361111
7,0.136211,0.333333,0.333333
8,0.075901,0.333333,0.388889
9,0.264303,0.333333,0.361111
10,0.06769,0.333333,0.361111
11,0.065434,0.444444,0.361111
12,0.061033,0.444444,0.361111
13,0.037616,0.555556,0.361111
14,0.087169,0.444444,0.361111
15,0.030223,0.444444,0.361111
16,0.050313,0.444444,0.333333
17,0.01075,0.444444,0.333333
18,0.025777,0.444444,0.333333
19,0.04592,0.444444,0.333333
20,0.035017,0.444444,0.361111
21,0.012108,0.444444,0.361111
22,0.020516,0.444444,0.305556
23,0.011003,0.444444,0.333333
24,0.037181,0.333333,0.361111
25,0.014606,0.444444,0.388889
26,0.006332,0.555556,0.416667
27,0.006258,0.555556,0.388889
28,0.002752,0.555556,0.388889
29,0.004892,0.555556,0.361111
