epoch,loss,dev,test
0,8.863458,0.421296,0.404211
1,2.800147,0.402778,0.429474
2,0.835192,0.402778,0.427368
3,0.467138,0.375,0.429474
4,1.150024,0.337963,0.418947
5,0.141163,0.375,0.444211
6,0.19796,0.361111,0.437895
7,0.420963,0.347222,0.423158
8,0.232807,0.412037,0.465263
9,0.164123,0.388889,0.463158
10,0.118942,0.37963,0.448421
11,0.122576,0.398148,0.423158
12,0.065209,0.407407,0.456842
13,1.194449,0.402778,0.471579
14,0.249178,0.393519,0.456842
15,0.153569,0.402778,0.458947
16,0.040173,0.398148,0.486316
17,0.091333,0.407407,0.442105
18,0.088025,0.393519,0.431579
19,1.16801,0.449074,0.444211
20,1.081889,0.435185,0.471579
21,0.15077,0.37963,0.444211
22,0.324604,0.375,0.463158
23,0.346843,0.416667,0.477895
24,0.291988,0.435185,0.492632
25,0.430301,0.439815,0.456842
26,0.186705,0.375,0.488421
27,0.187282,0.398148,0.490526
28,0.392778,0.388889,0.463158
29,0.175149,0.407407,0.492632
