epoch,loss,dev,test
0,1.647909,0.222222,0.361111
1,1.627122,0.222222,0.361111
2,1.599014,0.333333,0.388889
3,1.537323,0.222222,0.472222
4,1.422281,0.111111,0.472222
5,1.243571,0.333333,0.416667
6,0.931774,0.333333,0.444444
7,0.586778,0.222222,0.472222
8,0.376146,0.222222,0.416667
9,0.211529,0.333333,0.416667
10,0.243429,0.222222,0.444444
11,0.201863,0.222222,0.416667
12,0.175658,0.222222,0.444444
13,0.124674,0.222222,0.444444
14,0.219237,0.333333,0.444444
15,0.154962,0.444444,0.444444
16,0.130183,0.333333,0.444444
17,0.265984,0.222222,0.444444
18,0.105941,0.333333,0.472222
19,0.056666,0.333333,0.472222
20,0.569438,0.333333,0.472222
21,0.122252,0.333333,0.472222
22,0.071183,0.333333,0.5
23,0.258706,0.333333,0.472222
24,0.101425,0.444444,0.416667
25,0.036794,0.444444,0.416667
26,0.235621,0.333333,0.444444
27,0.070362,0.333333,0.444444
28,0.100803,0.333333,0.444444
29,0.032627,0.222222,0.416667
