epoch,loss,dev,test
0,8.235011,0.444444,0.383158
1,7.81563,0.462963,0.44
2,6.216166,0.439815,0.418947
3,5.186356,0.467593,0.364211
4,5.081719,0.453704,0.362105
5,4.003065,0.421296,0.383158
6,3.964931,0.486111,0.404211
7,3.476692,0.462963,0.418947
8,3.384641,0.416667,0.395789
9,2.861704,0.467593,0.353684
10,2.905367,0.458333,0.444211
11,3.202323,0.439815,0.378947
12,2.75352,0.449074,0.385263
13,2.121789,0.439815,0.397895
14,2.420534,0.472222,0.408421
15,2.359261,0.453704,0.353684
16,2.246546,0.449074,0.378947
17,1.901441,0.453704,0.378947
18,1.872748,0.453704,0.351579
19,2.122604,0.416667,0.366316
20,1.920402,0.425926,0.353684
21,2.069718,0.416667,0.412632
22,3.072624,0.458333,0.378947
23,2.084646,0.416667,0.353684
24,1.740609,0.425926,0.370526
25,1.643708,0.412037,0.383158
26,1.565486,0.435185,0.368421
27,1.444412,0.453704,0.364211
28,1.491588,0.435185,0.372632
29,1.512708,0.458333,0.341053
,,,
max,8.235011,0.486111,0.444211
