epoch,loss,dev,test
0,1.647743,0.444444,0.472222
1,1.62269,0.666667,0.416667
2,1.473882,0.444444,0.444444
3,0.983179,0.444444,0.416667
4,0.562027,0.444444,0.416667
5,0.428692,0.444444,0.416667
6,0.309783,0.444444,0.333333
7,0.238118,0.444444,0.388889
8,0.20143,0.444444,0.444444
9,0.170897,0.444444,0.444444
10,0.229164,0.555556,0.472222
11,0.187715,0.555556,0.472222
12,0.317496,0.444444,0.416667
13,0.91032,0.555556,0.416667
14,0.191906,0.555556,0.305556
15,0.182188,0.555556,0.305556
16,0.314836,0.555556,0.277778
17,0.216313,0.555556,0.277778
18,0.195632,0.555556,0.277778
19,0.225982,0.555556,0.277778
20,0.122533,0.555556,0.277778
21,0.072105,0.555556,0.277778
22,0.124475,0.555556,0.277778
23,0.060095,0.555556,0.25
24,0.12335,0.555556,0.25
25,0.163454,0.555556,0.305556
26,0.086918,0.555556,0.277778
27,0.195103,0.444444,0.277778
28,0.099577,0.444444,0.277778
29,0.107796,0.555556,0.277778
,,,
max,1.647743,0.666667,0.472222
