epoch,loss,dev,test
0,8.091578,0.435185,0.44
1,7.287902,0.430556,0.433684
2,6.270193,0.439815,0.442105
3,5.497414,0.472222,0.444211
4,4.982892,0.462963,0.427368
5,4.935535,0.481481,0.473684
6,5.210782,0.481481,0.467368
7,4.941124,0.462963,0.467368
8,4.986814,0.481481,0.458947
9,4.417012,0.481481,0.452632
10,4.048282,0.476852,0.444211
11,4.603115,0.490741,0.475789
12,4.557092,0.476852,0.469474
13,3.940761,0.509259,0.450526
14,3.738287,0.509259,0.465263
15,3.511036,0.481481,0.486316
16,3.896896,0.486111,0.469474
17,3.16636,0.490741,0.452632
18,2.941447,0.5,0.454737
19,2.977127,0.481481,0.450526
20,3.149886,0.462963,0.473684
21,2.735801,0.509259,0.450526
22,3.411031,0.462963,0.444211
23,2.955629,0.481481,0.467368
24,2.920807,0.476852,0.458947
25,2.726354,0.467593,0.458947
26,2.779643,0.476852,0.454737
27,2.550536,0.462963,0.48
28,2.834484,0.486111,0.458947
29,2.481926,0.490741,0.448421
,,,
max,8.091578,0.509259,0.486316
