epoch,loss,dev,test
0,1.645736,0.222222,0.277778
1,1.573535,0.111111,0.305556
2,1.348943,0.111111,0.333333
3,0.876221,0.111111,0.388889
4,0.754606,0.222222,0.333333
5,0.480754,0.333333,0.277778
6,0.495736,0.333333,0.222222
7,0.468332,0.333333,0.222222
8,0.60071,0.444444,0.277778
9,0.204237,0.444444,0.277778
10,0.278068,0.444444,0.305556
11,0.301839,0.444444,0.416667
12,0.28892,0.444444,0.416667
13,0.223122,0.444444,0.361111
14,0.433215,0.444444,0.361111
15,0.180207,0.444444,0.361111
16,0.339885,0.444444,0.361111
17,0.305544,0.444444,0.388889
18,0.126162,0.444444,0.388889
19,0.513501,0.444444,0.388889
20,0.21433,0.444444,0.361111
21,0.312742,0.444444,0.361111
22,0.277861,0.444444,0.361111
23,0.231218,0.444444,0.388889
24,0.155904,0.444444,0.416667
25,0.1427,0.555556,0.361111
26,0.090112,0.555556,0.361111
27,0.333364,0.555556,0.333333
28,0.152874,0.555556,0.333333
29,0.126584,0.666667,0.333333
,,,
max,1.645736,0.666667,0.416667
