epoch,loss,dev,test
0,8.23841,0.430556,0.435789
1,8.016254,0.430556,0.423158
2,7.238708,0.458333,0.44
3,6.80427,0.416667,0.408421
4,5.733081,0.439815,0.404211
5,5.29775,0.416667,0.391579
6,4.557784,0.416667,0.372632
7,3.633117,0.361111,0.374737
8,3.507737,0.384259,0.362105
9,3.246164,0.425926,0.406316
10,2.927284,0.375,0.383158
11,2.508787,0.416667,0.372632
12,2.756471,0.412037,0.408421
13,2.268141,0.421296,0.366316
14,2.842411,0.375,0.345263
15,2.220765,0.384259,0.336842
16,1.857076,0.425926,0.408421
17,1.709663,0.412037,0.404211
18,1.839169,0.361111,0.372632
19,1.555448,0.402778,0.378947
20,1.611162,0.388889,0.313684
21,1.538511,0.402778,0.387368
22,1.789335,0.398148,0.332632
23,1.68043,0.407407,0.345263
24,1.409251,0.393519,0.343158
25,1.765953,0.388889,0.313684
26,1.372341,0.375,0.347368
27,1.190519,0.37037,0.349474
28,1.516319,0.402778,0.355789
29,1.239332,0.384259,0.332632
,,,
max,8.23841,0.458333,0.44
