epoch,loss,dev,test
0,1.647921,0.222222,0.305556
1,1.627083,0.333333,0.416667
2,1.596787,0.333333,0.361111
3,1.525347,0.222222,0.361111
4,1.429451,0.333333,0.388889
5,1.223587,0.333333,0.361111
6,0.871882,0.333333,0.361111
7,0.621998,0.444444,0.361111
8,0.472191,0.333333,0.388889
9,0.264587,0.333333,0.416667
10,0.201809,0.555556,0.416667
11,0.150138,0.444444,0.416667
12,0.187149,0.555556,0.388889
13,0.229958,0.555556,0.416667
14,0.12614,0.555556,0.388889
15,0.264354,0.555556,0.388889
16,0.218622,0.666667,0.388889
17,0.112131,0.666667,0.305556
18,0.136387,0.666667,0.305556
19,0.071215,0.666667,0.305556
20,0.073033,0.666667,0.305556
21,0.062654,0.666667,0.305556
22,0.04856,0.666667,0.305556
23,0.076868,0.666667,0.305556
24,0.06188,0.666667,0.333333
25,0.09877,0.666667,0.305556
26,0.030386,0.666667,0.333333
27,0.048066,0.666667,0.333333
28,0.033622,0.666667,0.333333
29,0.01993,0.666667,0.333333
,,,
max,1.647921,0.666667,0.416667
