epoch,loss,dev,test
0,1.831509,0.372549,0.32967
1,1.799612,0.392157,0.285714
2,1.735022,0.352941,0.318681
3,1.530292,0.352941,0.32967
4,1.053892,0.313725,0.318681
5,0.71018,0.294118,0.32967
6,0.51833,0.352941,0.307692
7,0.30395,0.372549,0.362637
8,0.410516,0.372549,0.373626
9,0.335704,0.313725,0.32967
10,0.190893,0.294118,0.32967
11,0.213069,0.294118,0.32967
12,0.289191,0.313725,0.307692
13,0.145364,0.313725,0.351648
14,0.403993,0.313725,0.32967
15,0.148104,0.313725,0.318681
16,0.114947,0.333333,0.362637
17,0.381415,0.333333,0.318681
18,0.089075,0.372549,0.32967
19,0.136174,0.372549,0.340659
20,0.0813,0.352941,0.32967
21,0.045603,0.372549,0.318681
22,0.064089,0.313725,0.351648
23,0.056389,0.294118,0.340659
24,0.036181,0.333333,0.351648
25,0.056107,0.372549,0.351648
26,0.042981,0.392157,0.340659
27,0.013197,0.372549,0.32967
28,0.026968,0.372549,0.32967
29,0.019641,0.372549,0.32967
,,,
max,1.831509,0.392157,0.373626
